Abbreviation/Shorthand,Meaning,More Info
MDP,technetium-99m methylene diphosphonate,
MDR,multidrug-resistant,
MDS,myelodysplastic syndrome,
MECC,Minimal Extracorporeal Circulation,
MECP2,methyl CpG binding protein 2,
MED,morphine equivalent dosage,
MEK,mitogen-activated protein kinase kinase,https://en.wikipedia.org/wiki/Mitogen-activated_protein_kinase_kinase
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",
MELD,Model for End Stage Liver Disease,
MELS,modular extracorporeal liver support system,
MENS,MICROCURRENT ELECTRICAL NERVE STIMULATION,
MEP,motor evoked potential,
MEP,magnetic evoked potential,
mEq,milliequivalent,
mEq/L,milliequivalents per liter,
MERRF,myoclonic epilepsy with ragged red fibers,
MERS,Middle East Respiratory Syndrome,
MERS-CoV,Middle East Respiratory Syndrome Coronavirus,
MeSH,medical subject heading,
MET,medical emergency team,
MET,"MET proto-oncogene, receptor tyrosine kinase",https://www.mycancergenome.org/content/gene/met/
MET,Metabolic Equivalent,
MET,motivational enhancement therapy,
METS,Measurement of Exercise Tolerance before Surgery,
MF,malar fat,
MF,mandibular fossa,
MF,myelofibrosis,
MFC,medial femoral condyle,
MFCL,Medicare Functional Classification Level,
MFM,maternal-fetal medicine,
MFO,multi field optimization,
MFO-IMPT,multifield optimization intensity-modulated proton therapy,
MFO-IMRT,multifield optimization intensity-modulated radiation therapy,
MFS,Marfan syndrome,
MFS,metastasis-free survival,
Mg,magnesium,
mg,milligram,
MG,myasthenia gravis,
mg/dL,milligrams per deciliter,
MGD,Meibomian Gland Dysfunction,
MGMT,O[6]-methylguanine-DNA methyltransferase,
MgSO4,Magnesium Sulfate,
MgSO₄,Magnesium sulfate,
MGUS,monoclonal gammopathy of undetermined significance,
MH,microhematuria,
MHA,Minnesota Handwriting Assessment,
MHC,major histocompatibility complex,
MHD,mean heart dose,
MHD,maintenance hemodialysis,
MHOP,mental health outpatient services,
MHP,moist hot pack,
MHV,mouse hepatitis virus,
MHV,Murine Hepatitis Virus,
MHz,megahertz,
MI,myocardial infarction,
MI,molecular intelligence,
MIC,minimum inhibitory concentration,
MICU,medical intensive care unit,
MID,minimal important difference,
mIDH1,mutant isocitrate dehydrogenase 1,
midi,midday,
MILD,minimally invasive lumbar decompression,
MIONM,multimodal intraoperative neurophysiological monitoring,
MIP,maximal inspiratory pressure,
MIP,molecular inversion probe,
MIP,maximum intensity projection,
MIrAVR,minimally invasive reoperative aortic valve replacement,
MIRCT,massive irreparable rotator cuff tear,
miRNA,microRNA,
MIS-A,multisystem inflammatory syndrome in adults,
MIS-C,multisystem inflammatory syndrome in children,
MIST,minimally invasive surgical therapy,
mITT,modified intent-to-treat,
ML,Microlaryngoscopy,
mLAP,mean left atrial pressure,
MLD,manual lymphatic drainage,
MLD MAX,"Morphology, Length, Diameter, Medial dissection, Apposition, eXpansion",
MLF,medial longitudinal fasciculus,
MLTC,managed long term care,
MM,multiple myeloma,
MMA,multimodal analgesic,
MMA,maxillomandibular advancement ,
MMC,Mitomycin C,
MME,Morphine Milligram Equivalents,
MMF,mycophenolate mofetil,
MMF,maxillomandibular fixation,
mmHg,millimeter of mercury,
MMLV,Moloney murine leukemia virus,
MMLV-RT,Moloney murine leukemia virus reverse transcriptase,
MMMP,multimodal mental practice,
MMN,multi-focal motor neuropathy,
mmol,millimole,
mmol/L,millimole per liter,
MMP,matrix metalloproteinas,
MMSE,mini-mental state examination,
MMT,manual muscle testing,
MMTP,Methadone Maintenance Treatment Program,
MN,midnight,
MNA-SF,Mini Nutritional Assessment-Short Form,
MO,migraine without aura,
MO,morbid obesity,
MOA,mechanism of action,
MOCA,mechanochemical ablation,
MODQ,Modified Oswestry Disability Questionnaire,
MOG,myelin oligodendrocyte glycoprotein,
MOGAD,Myelin Oligodendrocyte Glycoprotein Antibody Disease,
MOH,medication overuse headache,
MOI,multiplicity of infection,
MOLST,medical orders for life-sustaining treatment,
MOM,milk of magnesia,
MOSF,multiple organ system failure,
MP,methylprednisolone,
MP,mental practice,
MP,molecular profiling,
MP,mastoid process,
MP-NAAT,multiplex nucleic acid amplification test,
MPA,medroxyprogesterone acetate,
mPCR,multiplex polymerase chain reaction,
MPD,myofascial pain-dysfunction,
MPEC,memory precursor effector cell,
MPFL,medial patellofemoral ligament,
MPH,mid-parental height,
MPH,methylphenidate,
MPI,myocardial perfusion imaging,
MPJ,Metatarsal Phalangeal Joint,
MPK,microprocessor-controlled prosthetic knee,
MPL,Medial Patella Luxation,
MPLS,multiport laparoscopic surgery,
MPN,myeloproliferative neoplasm,
MPNST,malignant peripheral nerve sheath tumor,
MPO,myeloperoxidase,
MPQ,McGill Pain Questionnaire,
MPR,multi-planar reformation,
Mpro,main protease,
MPS,myofascial pain syndrome,
MR,magnetic resonance,
MR,mental retardation,
MR,mitral regurgitation,
MR-proADM,mid-regional pro-adrenomedullin,
MR-SWI,magnetic resonance-susceptibility weighted imaging,
MRA,magnetic resonance angiography,
MRA,mandibular repositioning appliance,
MRADL,mobility-related activity of daily living,
MRC,mitochondrial respiratory chain,
MRCP,Magnetic Resonance Cholangiopancreatogram,
MRCP,mental retardation with cerebral palsy,
MRD,minimal residual disease,https://www.mdanderson.org/cancerwise/what-is-minimal-residual-disease--mrd--multiple-myeloma-lymphoma-leukemia-patients.h00-159383523.html
MRD,margin to reflex distance,
MRE,magnetic resonance elastography ,
MRF,multiple risk factors,
MRgFUS,Magnetic Resonance Guided Focused Ultrasound,
MRI,magnetic resonance imaging,
MRM,Modified Radical Mastectomy,
mRNA,messenger RNA,
MRPL3,Mitochondrial Ribosomal Protein L3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL3
MRSA,methicillin-resistant Staphylococcus aureus,
MRV,magnetic resonance venogram,
MS,mental status,
MS,mitral stenosis,
MS,morphine sulphate,
MS,multiple sclerosis,
MS,musculoskeletal,
MSA,magnetic sphincter augmentation,
MSA,multiple system atrophy,
MSAFP,Maternal Serum Alpha-Fetoprotein,
MSC,melanoma skin cancer,
MSC,mesenchymal stem cell,
MSCT,multi-slice computed tomography,
msec,millisecond,
MSG,minor salivary gland,
MSI,microsatellite instability,
MSIS,multi-system inflammatory syndrome,
MSK-IMPACT,Memorial Sloan-Kettering integrated mutation profiling of actionable cancer targets,
MSKCC,Memorial Sloan-Kettering Cancer Center,
MSLT,Multiple Sleep Latency Test,
MSRC,molecular signature response classifier,
MSSA,methicillin-sensitive Staphylococcus aureus,
MSU,monosodium urate,
MT,mechanical thrombectomy,
MTB,Maximum Therapeutic Benefit,
mtDNA,mitochondrial DNA,
MTF,male-to-female,
MTHFR,methylenetetrahydrofolate reductase,
mTOR,mammalian target of rapamycin,
MTP,metatarsophalangeal,
MTS,May-Thurner syndrome,
MTX,methotrexate,
MUA,manipulation under anesthesia,
mUI,milli-international units,
Multi-D,multi-disciplinary,
MuSK,Muscle-Specific Kinase,
MV,mechanical ventilation,
MVA,multivariable analysis,
MVA,motor vehicle accident,
MVC,maximal voluntary contraction,
MVD,multi-vessel disease,
MVI,multiple vitamins injection,
MVIC,maximum volitional isometric contraction,
MVO,microvascular obstruction,
MVP,mitral valve prolapse,
MVR,Mitral Valve Replacement,
MVS,mitral valve surgery,
MVV,Mitral Valve Valvuloplasty,
MWS,Mowat-Wilson syndrome,
MX,metastasis cannot be measured,
MX,Distant metastasis cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
MYH11,Myosin-11,
MYLK,Myosin Light Chain Kinase,
MZ,heterozygous Z allele,
μg,microgram,
